id,card_no,time
1,5.60226E+15,17:36
2,3.55919E+15,8:58
3,3.05907E+13,20:14
4,5.64183E+17,16:07
5,3.56549E+15,21:35
6,3.53499E+15,15:24
7,4.02657E+15,14:56
8,5.45706E+15,11:46
9,3.56735E+15,9:36
10,6.30458E+15,18:15
11,4.13948E+15,11:49
12,5.14887E+15,17:21
13,3.57207E+15,14:23
14,4.91122E+18,11:58
15,5.04838E+15,20:39
16,6.04892E+15,8:54
17,5.89347E+18,10:26
18,3.74289E+14,19:23
19,3.5857E+15,18:46
20,3.57019E+15,20:25
21,3.55263E+15,9:19
22,5.61053E+18,9:03
23,3.57393E+15,15:41
24,5.10015E+15,13:27
25,6.76201E+18,17:13
26,3.53408E+15,16:44
27,3.58621E+15,15:05
28,5.60224E+16,17:03
29,2.01536E+14,16:26
30,4.91368E+15,14:24
31,3.56714E+15,14:46
32,3.58282E+15,18:55
33,6.762E+15,13:01
34,5.60225E+16,16:23
35,3.58728E+15,17:22
36,3.37942E+14,16:10
37,3.74288E+14,8:10
38,3.74623E+14,14:27
39,3.56817E+15,13:39
40,3.57905E+15,13:27
41,5.10013E+15,11:43
42,6.70661E+16,20:08
43,3.56339E+15,20:57
44,5.02096E+17,10:04
45,5.64182E+18,13:27
46,4.90366E+17,21:16
47,6.37476E+15,18:44
48,3.57449E+15,16:44
49,3.57756E+15,8:31
50,3.45763E+14,19:04
51,5.10875E+15,21:38
52,3.55659E+15,10:41
53,5.60225E+15,21:21
54,3.74288E+14,9:43
55,3.57587E+15,18:50
56,3.43906E+14,15:55
57,3.56495E+15,17:49
58,3.74622E+14,11:10
59,3.58692E+15,20:27
60,3.58617E+15,13:29
61,3.53446E+15,10:05
62,2.01893E+14,16:04
63,3.5504E+15,19:01
64,3.54474E+15,9:21
65,6.70909E+15,17:05
66,3.57762E+15,21:59
67,3.53967E+15,11:53
68,5.60223E+17,8:57
69,6.39978E+15,18:38
70,5.42917E+15,15:15
71,5.60223E+15,17:23
72,6.77146E+17,12:40
73,3.01349E+13,13:18
74,6.37802E+15,10:57
75,3.5619E+15,14:38
76,5.60223E+16,10:35
77,3.58398E+15,21:07
78,5.60222E+15,16:41
79,3.05743E+13,21:52
80,3.54031E+15,19:19
81,5.60222E+15,8:03
82,3.04292E+13,20:57
83,3.53565E+15,16:23
84,3.5838E+15,19:29
85,3.58276E+15,9:09
86,3.55654E+15,20:19
87,5.60222E+15,16:56
88,5.60221E+15,8:24
89,6.75927E+15,9:30
90,3.5587E+15,8:34
91,5.60221E+17,12:11
92,3.54262E+15,15:57
93,3.53588E+15,18:56
94,3.53665E+15,15:15
95,3.56758E+15,11:05
96,6.7094E+18,9:03
97,3.58161E+15,19:17
98,5.60223E+15,20:29
99,3.58696E+15,15:16
100,5.01012E+15,17:12
101,3.0375E+13,8:12
102,5.10875E+15,9:17
103,3.37942E+14,11:29
104,3.42503E+14,9:33
105,5.0188E+15,13:52
106,3.56486E+15,19:45
107,3.58944E+15,18:53
108,3.58911E+15,11:37
109,3.01295E+13,19:25
110,3.54364E+15,20:49
111,3.52969E+15,16:53
112,3.79294E+14,10:33
113,6.70601E+18,15:29
114,5.60222E+15,15:27
115,6.39834E+15,13:41
116,6.33435E+18,18:24
117,6.3349E+18,19:52
118,3.563E+15,15:24
119,3.49493E+14,14:55
120,3.74288E+14,8:12
121,5.24908E+15,18:02
122,3.58896E+15,17:47
123,3.58445E+15,16:07
124,3.5788E+15,8:17
125,3.57641E+15,11:46
126,3.56455E+15,16:19
127,3.57409E+15,9:42
128,3.56123E+15,16:09
129,4.93636E+17,19:24
130,3.54555E+15,14:25
131,6.7596E+17,17:09
132,3.56428E+15,11:53
133,3.5375E+15,12:32
134,6.70903E+15,10:58
135,3.58278E+15,8:56
136,3.56444E+15,10:46
137,3.5714E+15,16:55
138,6.33308E+18,15:21
139,3.54168E+15,19:41
140,4.93672E+18,15:05
141,3.55817E+15,16:44
142,3.53253E+15,17:29
143,4.90507E+17,9:11
144,4.90589E+18,14:10
145,5.60224E+15,20:33
146,4.91354E+15,15:44
147,3.53885E+15,18:06
148,3.74283E+14,21:50
149,3.56946E+15,19:27
150,6.77158E+18,18:35
151,3.58521E+15,20:54
152,2.01887E+14,8:40
153,5.61036E+17,19:06
154,3.54018E+15,13:32
155,5.60224E+15,14:53
156,5.01802E+18,12:00
157,3.03433E+13,11:09
158,3.77205E+14,11:38
159,6.33431E+17,8:03
160,4.04137E+12,8:59
161,6.70952E+16,20:46
162,2.01795E+14,20:45
163,5.0203E+15,9:57
164,5.37285E+15,19:39
165,4.17501E+15,17:32
166,3.56788E+15,16:45
167,4.40518E+15,19:15
168,5.41295E+15,11:00
169,3.54297E+15,9:11
170,5.01013E+15,9:19
171,3.55198E+15,10:18
172,5.50785E+15,20:52
173,6.33111E+15,13:07
174,3.01284E+13,8:12
175,3.53062E+15,10:49
176,2.0179E+14,14:53
177,3.5412E+15,14:11
178,3.54575E+15,8:53
179,6.77152E+18,13:25
180,5.60223E+16,21:40
181,3.53711E+15,18:18
182,3.37941E+14,10:24
183,2.01751E+14,8:10
184,3.74283E+14,12:06
185,3.54945E+15,17:15
186,3.54081E+15,11:04
187,3.58812E+15,10:52
188,3.05532E+13,9:51
189,3.00811E+13,9:36
190,3.57886E+15,18:57
191,3.37942E+14,16:14
192,5.10017E+15,8:09
193,3.57054E+15,10:37
194,4.50862E+15,9:46
195,5.60225E+15,12:55
196,3.58144E+15,9:27
197,3.58396E+15,9:32
